Date,Open,High,Low,Close,Volume
12/29/2022,"18.12","18.57","17.75","18.33","3,442,757"
12/28/2022,"18.29","18.70","16.98","17.92","5,671,992"
12/27/2022,"19.91","19.99","18.00","18.20","4,233,045"
12/23/2022,"20.00","20.63","19.65","20.08","3,174,827"
12/22/2022,"20.50","20.50","18.50","19.81","5,343,087"
12/21/2022,"20.40","20.90","20.18","20.56","2,793,559"
12/20/2022,"19.86","21.32","19.62","20.26","4,478,987"
12/19/2022,"20.55","20.89","19.59","19.92","3,700,556"
12/16/2022,"20.48","21.12","20.01","20.80","9,379,717"
12/15/2022,"20.74","21.44","20.24","20.58","6,444,512"
12/14/2022,"21.19","22.00","21.01","21.05","4,604,808"
12/13/2022,"23.55","23.70","20.83","21.00","6,305,646"
12/12/2022,"22.66","23.15","22.18","22.67","3,750,805"
12/09/2022,"24.59","24.59","22.59","22.63","5,326,676"
12/08/2022,"22.00","25.00","21.97","24.79","10,252,000"
12/07/2022,"23.40","23.61","21.97","22.26","10,078,220"
12/06/2022,"25.41","25.58","23.11","23.39","7,699,321"
12/05/2022,"27.31","27.48","25.44","25.56","4,973,747"
12/02/2022,"26.25","27.87","26.11","27.52","4,577,177"
12/01/2022,"26.00","27.50","25.18","26.60","7,615,154"
11/30/2022,"25.90","26.23","24.91","26.21","3,731,072"
11/29/2022,"25.58","26.35","25.32","25.60","2,029,480"
11/28/2022,"25.79","26.44","25.21","25.29","2,453,744"
11/25/2022,"26.50","27.05","26.14","26.17","1,122,700"
11/23/2022,"25.92","27.14","25.92","26.70","2,737,491"
11/22/2022,"25.13","26.45","24.70","26.30","4,240,402"
11/21/2022,"26.66","27.83","24.86","25.16","4,443,252"
11/18/2022,"28.16","28.70","26.83","27.60","3,087,420"
11/17/2022,"26.30","27.76","26.15","27.76","2,477,693"
11/16/2022,"26.62","27.35","26.37","27.14","2,452,335"
11/15/2022,"26.59","28.24","26.27","27.59","5,391,975"
11/14/2022,"26.30","27.38","25.61","26.05","4,350,537"
11/11/2022,"24.78","26.12","24.15","26.10","3,986,182"
11/10/2022,"24.62","25.70","23.91","24.88","6,106,952"
