Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
Kylin Hill,GNB,24,RB,2,0,1,7,0,1,7,7.0,3.5,0
Kendall Hinton,DEN,25,WR,11,5,1,13,0,1,13,13.0,1.2,0
Jordan Howard,NOR,28,RB,2,0,1,1,0,0,1,1.0,0.5,0
Robert Hunt,MIA,26,OL,15,15,1,0,0,0,0,0.0,0.0,1
Trenton Irwin,CIN,27,WR,8,2,1,11,0,1,11,11.0,1.4,0
Jerry Jeudy,DEN,23,WR,13,12,1,1,0,1,1,1.0,0.1,0
Dallin Leavitt,GNB,28,S,15,0,1,0,0,0,0,0.0,0.0,0
Scott Miller,TAM,25,WR,13,1,1,8,0,0,8,8.0,0.6,0
Darnell Mooney,CHI,25,WR,12,12,1,2,0,0,2,2.0,0.2,0
Josh Palmer,LAC,24,WR,14,11,1,4,0,1,4,4.0,0.3,1
Zach Pascal,PHI,28,WR,15,1,1,0,0,0,0,0.0,0.0,0
Donovan Peoples-Jones,CLE,23,WR,15,12,1,2,0,0,2,2.0,0.1,1
Armani Rogers,WAS,25,TE,10,3,1,24,0,1,24,24.0,2.4,0
Ben Skowronek,LAR,25,WR,14,11,1,17,1,1,17,17.0,1.2,0
Jonnu Smith,NWE,27,TE,14,8,1,5,0,1,5,5.0,0.4,1
Keith Smith,ATL,30,FB,15,4,1,2,0,1,2,2.0,0.1,0
M.J. Stewart,HOU,27,DB,15,0,1,3,0,1,3,3.0,0.2,0
Courtland Sutton,DEN,27,WR,13,13,1,5,0,0,5,5.0,0.4,0
Deven Thompkins,TAM,23,WR,3,0,1,9,0,0,9,9.0,3.0,1
Marquez Valdes-Scantling,KAN,28,WR,15,9,1,-3,0,0,-3,-3.0,-0.2,0
Cedrick Wilson Jr.,MIA,27,WR,14,0,1,8,0,0,8,8.0,0.6,0
Michael Woods II,CLE,22,WR,8,0,1,-5,0,0,-5,-5.0,-0.6,0
